source,relative_path,subject_id,image_variant,target_label,file_ext
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/100a.jpg,100,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/100b.jpg,100,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/10a.jpg,10,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/10b.jpg,10,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/11a.jpg,11,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/11b.jpg,11,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/12a.jpg,12,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/12b.jpg,12,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/13a.jpg,13,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/13b.jpg,13,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/14a.jpg,14,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/14b.jpg,14,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/15a.jpg,15,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/15b.jpg,15,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/16a.jpg,16,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/16b.jpg,16,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/17a.jpg,17,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/17b.jpg,17,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/18a.jpg,18,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/18b.jpg,18,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/19a.jpg,19,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/19b.jpg,19,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/1a.jpg,1,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/1b.jpg,1,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/20a.jpg,20,aligned_a,neutral,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/20b.jpg,20,aligned_b,generic_smile,jpg
fei_face_database,FEI Face Database/frontalimages_manuallyaligned_part1/21a.jpg,21,aligned_a,neutral,jpg
